week,precipitacao(mm)
1,9.7
2,0.0
3,0.0
4,0.0
5,0.0
6,115.1
7,34.3
8,2.0
9,9.3
10,2.2
11,4.5
12,51.0
13,0.0
14,4.1
15,4.9
16,0.0
17,11.6
18,1.9
19,0.0
20,0.7
21,0.0
22,0.0
23,0.0
24,0.6
25,0.0
26,0.0
27,0.0
28,0.0
29,1.2
30,0.2
31,0.2
32,15.3
33,0.0
34,7.7
35,0.0
36,0.1
37,0.0
38,0.0
39,20.2
40,0.0
41,0.0
42,0.0
43,59.6
44,0.6
45,0.0
46,26.6
47,35.4
48,87.5
49,70.3
50,0.0
51,0.0
52,2.8
53,0.0
1,156.0
2,0.0
3,30.6
4,298.9
5,0.0
6,59.9
7,35.8
8,27.400000000000002
9,68.9
10,62.8
11,4.9
12,45.5
13,0.6
14,5.4
15,45.5
16,1.0
17,0.6
18,0.0
19,0.5
20,36.4
21,34.3
22,0.0
23,0.0
24,5.0
25,1.7999999999999998
26,0.4
27,0.4
28,0.0
29,2.2
30,3.6
31,6.0
32,1.2000000000000002
33,0.6
34,4.6
35,0.0
36,0.0
37,0.0
38,5.6
39,0.7
40,0.0
41,0.7
42,30.6
43,121.39999999999999
44,92.60000000000001
45,0.0
46,34.3
47,44.6
48,4.5
49,68.7
50,17.3
51,5.1
52,0.4
53,0.0
1,80.19999999999999
2,68.9
3,15.7
4,0.0
5,0.0
6,177.6
7,108.5
8,82.3
9,54.6
10,47.7
11,9.8
12,2.3
13,0.0
14,23.4
15,1.6
16,92.8
17,0.8
18,0.0
19,0.0
20,0.0
21,0.0
22,0.5
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.3
31,0.0
32,2.1
33,0.6
34,0.0
35,1.9
36,0.1
37,0.0
38,0.0
39,0.0
40,0.0
41,32.0
42,53.5
43,27.0
44,83.2
45,121.7
46,58.900000000000006
47,43.800000000000004
48,48.5
49,137.3
50,7.2
51,105.6
52,93.9
53,0.0
1,77.1
2,74.1
3,0.4
4,18.2
5,12.3
6,92.10000000000001
7,37.1
8,32.9
9,0.0
10,1.9
11,0.0
12,2.3
13,0.0
14,0.0
15,0.0
16,17.6
17,0.0
18,0.0
19,0.8
20,0.0
21,1.9
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.3
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,1.7
35,1.5
36,0.0
37,0.0
38,14.600000000000001
39,0.0
40,9.0
41,49.0
42,0.0
43,1.8
44,39.0
45,0.0
46,151.8
47,85.0
48,88.7
49,35.6
50,50.9
51,107.19999999999999
52,9.5
53,0.0
1,62.300000000000004
2,72.0
3,18.6
4,57.7
5,0.0
6,7.8999999999999995
7,0.7
8,15.6
9,0.0
10,0.0
11,1.8
12,0.0
13,0.0
14,33.5
15,0.1
16,0.3
17,8.6
18,20.8
19,0.7
20,0.0
21,1.0
22,5.7
23,0.0
24,1.9
25,13.2
26,0.0
27,0.0
28,0.0
29,4.6
30,14.9
31,0.0
32,0.0
33,0.7
34,0.0
35,67.6
36,1.6
37,0.2
38,0.0
39,0.3
40,18.9
41,0.0
42,0.0
43,15.1
44,2.1
45,0.0
46,0.0
47,9.3
48,0.0
49,93.8
50,0.8
51,37.7
52,4.2
53,0.0
